
Batch: 0, Loss: 8.178459167480469, Recon loss: 6.1784987449646, VQ loss: 0.9999799728393555, Commit loss: 0.9999799728393555
Batch: 1, Loss: 7.647713661193848, Recon loss: 5.647900581359863, VQ loss: 0.9999064207077026, Commit loss: 0.9999064207077026
Batch: 2, Loss: 7.217492580413818, Recon loss: 5.217671871185303, VQ loss: 0.9999101758003235, Commit loss: 0.9999101758003235
Batch: 3, Loss: 6.898261547088623, Recon loss: 4.898367404937744, VQ loss: 0.9999471306800842, Commit loss: 0.9999471306800842
Batch: 4, Loss: 6.7482380867004395, Recon loss: 4.748260974884033, VQ loss: 0.9999884963035583, Commit loss: 0.9999884963035583
Batch: 5, Loss: 6.570572853088379, Recon loss: 4.5705461502075195, VQ loss: 1.0000131130218506, Commit loss: 1.0000131130218506
Batch: 6, Loss: 6.40380334854126, Recon loss: 4.403740406036377, VQ loss: 1.000031590461731, Commit loss: 1.000031590461731
Batch: 7, Loss: 6.31052303314209, Recon loss: 4.310412406921387, VQ loss: 1.0000553131103516, Commit loss: 1.0000553131103516
Batch: 8, Loss: 6.1961188316345215, Recon loss: 4.195942401885986, VQ loss: 1.000088095664978, Commit loss: 1.000088095664978
Batch: 9, Loss: 6.133822441101074, Recon loss: 4.133594989776611, VQ loss: 1.0001137256622314, Commit loss: 1.0001137256622314
Batch: 10, Loss: 6.04044246673584, Recon loss: 4.0401506423950195, VQ loss: 1.0001457929611206, Commit loss: 1.0001457929611206
Batch: 11, Loss: 5.966257095336914, Recon loss: 3.9658899307250977, VQ loss: 1.0001834630966187, Commit loss: 1.0001834630966187
Batch: 12, Loss: 5.929023265838623, Recon loss: 3.9285635948181152, VQ loss: 1.0002297163009644, Commit loss: 1.0002297163009644
Batch: 13, Loss: 5.90179967880249, Recon loss: 3.901282548904419, VQ loss: 1.0002585649490356, Commit loss: 1.0002585649490356
Batch: 14, Loss: 5.804594993591309, Recon loss: 3.8039586544036865, VQ loss: 1.0003182888031006, Commit loss: 1.0003182888031006
Batch: 15, Loss: 5.824578285217285, Recon loss: 3.8238000869750977, VQ loss: 1.0003888607025146, Commit loss: 1.0003888607025146
Batch: 16, Loss: 5.762803554534912, Recon loss: 3.761868715286255, VQ loss: 1.0004674196243286, Commit loss: 1.0004674196243286
Batch: 17, Loss: 5.760465621948242, Recon loss: 3.7593960762023926, VQ loss: 1.0005347728729248, Commit loss: 1.0005347728729248
Batch: 18, Loss: 5.746882438659668, Recon loss: 3.7456343173980713, VQ loss: 1.0006240606307983, Commit loss: 1.0006240606307983
Batch: 19, Loss: 5.737570285797119, Recon loss: 3.7362072467803955, VQ loss: 1.0006815195083618, Commit loss: 1.0006815195083618
Batch: 20, Loss: 5.687718391418457, Recon loss: 3.6862175464630127, VQ loss: 1.0007505416870117, Commit loss: 1.0007505416870117
Batch: 21, Loss: 5.610749244689941, Recon loss: 3.6090915203094482, VQ loss: 1.000828742980957, Commit loss: 1.000828742980957
Batch: 22, Loss: 5.62965202331543, Recon loss: 3.627854347229004, VQ loss: 1.0008989572525024, Commit loss: 1.0008989572525024
Batch: 23, Loss: 5.618293762207031, Recon loss: 3.616342782974243, VQ loss: 1.0009753704071045, Commit loss: 1.0009753704071045
Batch: 24, Loss: 5.662973403930664, Recon loss: 3.660816192626953, VQ loss: 1.001078724861145, Commit loss: 1.001078724861145
Batch: 25, Loss: 5.602529048919678, Recon loss: 3.600222110748291, VQ loss: 1.001153588294983, Commit loss: 1.001153588294983
Batch: 26, Loss: 5.6355204582214355, Recon loss: 3.632986307144165, VQ loss: 1.0012669563293457, Commit loss: 1.0012669563293457
Batch: 27, Loss: 5.559308052062988, Recon loss: 3.556601047515869, VQ loss: 1.0013535022735596, Commit loss: 1.0013535022735596
Batch: 28, Loss: 5.58892822265625, Recon loss: 3.5859808921813965, VQ loss: 1.0014736652374268, Commit loss: 1.0014736652374268
Batch: 29, Loss: 5.558539390563965, Recon loss: 3.555426597595215, VQ loss: 1.001556158065796, Commit loss: 1.001556158065796
